Country_Region,Province_State,Country_id,Country,Region_id,Region
 Azerbaijan, Azerbaijan,AZE,Azerbaijan,AZE,Azerbaijan
Afghanistan,Afghanistan,AFG,Afghanistan,AFG,Afghanistan
Albania,Albania,ALB,Albania,ALB,Albania
Algeria,Algeria,DZA,Algeria,DZA,Algeria
Andorra,Andorra,AND,Andorra,AND,Andorra
Angola,Angola,AGO,Angola,AGO,Angola
Antigua and Barbuda,Antigua and Barbuda,ACA,Antigua and Barbuda,ACA,Antigua and Barbuda
Argentina,Argentina,ARG,Argentina,ARG,Argentina
Argentina,Autonomous City of Buenos Aires,ARG,Argentina,ARG,Argentina
Argentina,Buenos Aires,ARG,Argentina,ARG,Argentina
Argentina,Catamarca,ARG,Argentina,ARG,Argentina
Argentina,Chaco,ARG,Argentina,ARG,Argentina
Argentina,Chubut,ARG,Argentina,ARG,Argentina
Argentina,Cordoba,ARG,Argentina,ARG,Argentina
Argentina,Corrientes,ARG,Argentina,ARG,Argentina
Argentina,Entre Rios,ARG,Argentina,ARG,Argentina
Argentina,Formosa,ARG,Argentina,ARG,Argentina
Argentina,Jujuy,ARG,Argentina,ARG,Argentina
Argentina,La Pampa,ARG,Argentina,ARG,Argentina
Argentina,La Rioja,ARG,Argentina,ARG,Argentina
Argentina,Mendoza,ARG,Argentina,ARG,Argentina
Argentina,Misiones,ARG,Argentina,ARG,Argentina
Argentina,Neuquen,ARG,Argentina,ARG,Argentina
Argentina,Rio Negro,ARG,Argentina,ARG,Argentina
Argentina,Salta,ARG,Argentina,ARG,Argentina
Argentina,San Juan,ARG,Argentina,ARG,Argentina
Argentina,San Luis,ARG,Argentina,ARG,Argentina
Argentina,Santa Cruz,ARG,Argentina,ARG,Argentina
Argentina,Santa Fe,ARG,Argentina,ARG,Argentina
Argentina,Santiago del Estero,ARG,Argentina,ARG,Argentina
Argentina,Tierra del Fuego,ARG,Argentina,ARG,Argentina
Argentina,Tucuman,ARG,Argentina,ARG,Argentina
Armenia,Armenia,ARM,Armenia,ARM,Armenia
Aruba,Aruba,ABW,Aruba,ABW,Aruba
Australia,Australia,AUS,Australia,AUS,Australia
Australia,Australian Capital Territory,AUS,Australia,AU-ACT,Australian Capital Territory
Australia,Jervis Bay Territory,AUS,Australia,AU-JBT,Jervis Bay Territory
Australia,New South Wales,AUS,Australia,AU-NSW,New South Wales
Australia,Northern Territory,AUS,Australia,AU-NT,Northern Territory
Australia,Queensland,AUS,Australia,AU-QLD,Queensland
Australia,South Australia,AUS,Australia,AU-SA,South Australia
Australia,Tasmania,AUS,Australia,AU-TAS,Tasmania
Australia,Victoria,AUS,Australia,AU-VIC,Victoria
Australia,Western Australia,AUS,Australia,AU-WA,Western Australia
Austria,Austria,AUT,Austria,AUT,Austria
Azerbaijan,Azerbaijan,AZE,Azerbaijan,AZE,Azerbaijan
Bahamas,Bahamas,BHS,Bahamas,BHS,Bahamas
"Bahamas, The","Bahamas, The",BHS,Bahamas,BHS,Bahamas
Bahrain,Bahrain,BHR,Bahrain,BHR,Bahrain
Bangladesh,Bangladesh,BGD,Bangladesh,BGD,Bangladesh
Bangladesh,Barisal,BGD,Bangladesh,BGD,Bangladesh
Bangladesh,Chittagong,BGD,Bangladesh,BGD,Bangladesh
Bangladesh,Dhaka,BGD,Bangladesh,BGD,Bangladesh
Bangladesh,Khulna,BGD,Bangladesh,BGD,Bangladesh
Bangladesh,Mymensingh,BGD,Bangladesh,BGD,Bangladesh
Bangladesh,Rajshahi,BGD,Bangladesh,BGD,Bangladesh
Bangladesh,Rangpur,BGD,Bangladesh,BGD,Bangladesh
Bangladesh,Sylhet,BGD,Bangladesh,BGD,Bangladesh
Bangladesh,Unassigned,BGD,Bangladesh,BGD,Bangladesh
Bangladesh,Unknown,BGD,Bangladesh,BGD,Bangladesh
Barbados,Barbados,BRB,Barbados,BRB,Barbados
Belarus,Belarus,BLR,Belarus,BLR,Belarus
Belgium,Antwerp,BEL,Belgium,BE-VAN,Antwerp
Belgium,Belgium,BEL,Belgium,BEL,Belgium
Belgium,Brussels,BEL,Belgium,BE-BRU,Brussels
Belgium,East Flanders,BEL,Belgium,BE-VOV,East Flanders
Belgium,Flemish Brabant,BEL,Belgium,BE-VBR,Flemish Brabant
Belgium,Hainaut,BEL,Belgium,BE-WHT,Hainaut
Belgium,Liege,BEL,Belgium,BE-WLG,Liege
Belgium,Limburg,BEL,Belgium,BE-VLI,"Limburg, BE"
Belgium,Luxembourg,BEL,Belgium,BE-WLX,"Luxembourg, BE"
Belgium,Namur,BEL,Belgium,BE-WNA,Namur
Belgium,Walloon Brabant,BEL,Belgium,BE-WBR,Walloon Brabant
Belgium,West Flanders,BEL,Belgium,BE-VWV,West Flanders
Belize,Belize,BLZ,Belize,BLZ,Belize
Benin,Benin,BEN,Benin,BEN,Benin
Bhutan,Bhutan,BTN,Bhutan,BTN,Bhutan
Bolivia,Bolivia,BOL,Bolivia,BOL,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina
Botswana,Botswana,BWA,Botswana,BWA,Botswana
Brazil,Acre,BRA,Brazil,BR-AC,Acre
Brazil,Alagoas,BRA,Brazil,BR-AL,Alagoas
Brazil,Amapa,BRA,Brazil,BR-AP,Amapa
Brazil,Amazonas,BRA,Brazil,BR-AM,"Amazonas, BR"
Brazil,Bahia,BRA,Brazil,BR-BA,Bahia
Brazil,Brazil,BRA,Brazil,BRA,Brazil
Brazil,Ceara,BRA,Brazil,BR-CE,Ceara
Brazil,Distrito Federal,BRA,Brazil,BR-DF,"Distrito Federal, BR"
Brazil,Espirito Santo,BRA,Brazil,BR-ES,Espirito Santo
Brazil,Goias,BRA,Brazil,BR-GO,Goias
Brazil,Maranhao,BRA,Brazil,BR-MA,Maranhao
Brazil,Mato Grosso,BRA,Brazil,BR-MT,Mato Grosso
